date,type,publication,title,href
2016-06-22T10:08:58+00:00,Feature,Zealous,Making Sad Songs You Can Dance To,https://zealous.co/about/archive-2/features-archive/charlie-gleason-electronic-folk-music/
2016-06-14T00:03:20+00:00,Premiere,Tone Deaf,Brightly Unveils Stunning New LP,https://tonedeaf.thebrag.com/premiere-brightly-unveils-stunning-new-lp-one-for-sorrow-two-for-joy/
2016-06-24T00:06:06+00:00,Feature,Tone Deaf,The 7 Local Records You Should Be Listening To This Week,https://tonedeaf.thebrag.com/the-7-local-records-you-should-be-listening-to-this-week-7/
2016-04-26T06:01:25+00:00,Premiere,Happy Mag,Feelin’ dirty?,https://happymag.tv/feelin-dirty-brightly-writes-about-sex-death-privilege-and-ball-sports-on-rugby/
2016-07-07T02:43:42+00:00,Review,AAA Backstage,"One For Sorrow, Two For Joy",https://aaabackstage.com/album-review-brightly-one-for-sorrow-two-for-joy/
2016-06-01T12:00:00+00:00,Review,Renowned For Sound,"One For Sorrow, Two For Joy",https://renownedforsound.com/album-review-brightly-one-for-sorrow-two-for-joy/
2016-06-17T14:49:00-05:00,Review,Pop Rinse Repeat,"One For Sorrow, Two For Joy","http://www.poprinserepeat.com/2016/06/meet-brightly.html?m=1"
2015-10-03T12:00:00+00:00,Award,The FWA, I Will Never Let You Go,https://thefwa.com/cases/i-will-never-let-you-go
2015-07-17T12:00:00+00:00,Review,NME Magazine,"Oh, Infinity",https://tumblr.wearebrightly.com/post/124330671797/oh-gosh-nmemagazine-called-oh-infinity-a
2015-03-05T01:07:46+00:00,Feature,I Heart Moosiq,Keep Me Close,https://iheartmoosiq.tumblr.com/post/112740936304/brightly-a-band-from-melbourne-australia-was
2015-03-03T10:33:38-05:00,Feature,Towleroad,"Oh, Infinity",https://www.towleroad.com/2015/03/new-music-brightly-screaming-females-black-honey-bernard-edith-loyle-carner-and-eurovision-news/
2015-02-23T23:48:21+00:00,Feature,Tone Deaf,"Oh, Infinity",https://tonedeaf.thebrag.com/premiere-brightlys-impressive-8-track-lp-oh-infinity/
2014-10-12T04:35:19+00:00,Feature,Me And All My Friends,True,https://meandallmyfriends.wordpress.com/2014/10/12/september-14-mix/
2014-09-29T13:50:00+00:00,Feature,The Aussie Word,"New Brightly Music, True",https://theaussieword.com/2014/09/29/new-music-brightly-true/
2014-09-19T12:00:00+00:00,Feature,Under The Gun,Check out the newest single by Brightly,http://underthegunreview.net/2014/09/19/check-out-the-newest-single-by-brightly/
2014-09-16T12:00:00+00:00,Feature,Indie Shuffle,Brightly - True,https://www.indieshuffle.com/brightly-true/
2014-01-30T12:00:00+00:00,Interview,EP/LP,Interview / Panel show,https://www.youtube.com/watch?v=bHwWrJu_XCQ
2014-01-07T04:07:06+00:00,Feature,Me And All My Friends,Best of 2013,https://meandallmyfriends.wordpress.com/2014/01/07/best-of-2013-tracks/
2013-09-04T12:00:00+00:00,Feature,Indie Shuffle,Brightly - World War,https://www.indieshuffle.com/brightly-world-war/
2013-06-13T12:00:00+00:00,Review,Beat Magazine,Beginnings & Endings,https://twitter.com/wearebrightly/status/345017246722179072
2013-05-15T12:00:00+00:00,Review,Adam Not Eve,"Album Launch, Beginnings & Endings",https://web.archive.org/web/20130731034115/http://adamnoteve.net/i-was-there-brightly-w-we-the-people-super-magic-hats-northcote-social-club-melb-09-05-13/
2013-09-05T12:00:00+00:00,Review,Adam Not Eve,Brightly - World War,https://web.archive.org/web/20131025232946/http://adamnoteve.net/review-brightly-world-war/
2013-02-18T12:00:00+00:00,Review,Beat Magazine,Brightly - Preflight Nerves,https://twitter.com/wearebrightly/status/631398656340590592
2012-05-04T12:00:00+00:00,Live,Noise 11,Live Set,https://www.noise11.com/vsessions/brightly
2014-12-04T12:00:00+00:00,Review,Triple J Unearthed,True,https://tumblr.wearebrightly.com/post/104320251617/rate-review-and-download-true-on-triple-j
2014-10-05T12:00:00+00:00,Mixtape,Portadelphia,Portadelphia Mixtape,https://tumblr.wearebrightly.com/post/99471143132/portadelphia-sunday-night-grooves-5-october
2013-05-23T12:00:00+00:00,Review,The Music,Beginnings & Endings,https://tumblr.wearebrightly.com/post/51198036327/if-you-missed-the-review-of-beginnings-endings
2012-09-12T12:00:00+00:00,Review,7 Inches,Brightly - Sarah,https://tumblr.wearebrightly.com/post/31975261972/brooklyn-based-blog-7-inches-took-the-time-to
2012-09-12T12:00:00+00:00,Interview,Wot's Life,The current state of vinyl in music,https://tumblr.wearebrightly.com/post/31975119685/charlie-recently-did-an-interview-with-the-monash
2016-06-28T17:49:45+00:00,Review,The Brag,"One For Sorrow, Two For Joy",https://thebrag.com/brightly-one-sorrow-two-joy/
2016-07-07T03:37:55+00:00,Review,Sounds of Oz,"One For Sorrow, Two For Joy",http://www.soundsofoz.com/2016/07/07/one-for-sorry-two-for-joy-brightly/?fbclid=IwAR2X7xj955krMy-XSPOdKKUadhmz9YBQqq7N7lFtDo0sGV1DKqXHvqscmik#sthash.k1mTlHyv.dpuf
